task_entry_id,task_id_ref,created_by_user_id,client_id,contractor_id,assigned_to_personnel_id,campaign_id,field_id,lot_id,parcel_id,machinery_id,product_insume_id,quantity_insume_used,unit_insume_used,start_datetime,end_datetime,duration_hours,status,cost_estimated,cost_actual,result_description,notes,creation_timestamp
task_entry_v4_001,task_fumigacion_i,user_admin_pam,client_05,cont_ext_007,pers_fumigador_x,camp_invernada24_pam,field_pam_02,lot_pam_p_01,NULL,mach_jacto_2000,prod_clorpirifos,186.0,litro,2024-07-07 13:15:00,NULL,NULL,Programada,3060.92,NULL,Programada: Fumigación Insecticida en field_pam_02.,Condiciones climáticas óptimas.,2024-02-09 15:00:00
task_entry_v4_002,task_labranza_s,user_trab_sur_1,client_02,cont_int_002,pers_op_vega,camp_manzanas24_sur,field_sur_01,lot_sur_pl_02,parcel_sur_pl02_01,mach_bertini_21000,NULL,NULL,NULL,2024-03-12 13:30:00,2024-03-12 18:18:00,4.8,Finalizada,4258.94,4080.13,"Finalizada: Labranza Secundaria en field_sur_01.",Lluvia interrumpió labores.,2024-01-25 15:00:00
task_entry_v4_003,task_cosecha_h,user_ing_sur,client_02,cont_int_002,pers_op_navarro,camp_hortalizas_prim24_sur,field_sur_03,lot_sur_o_01,parcel_sur_o01_01,NULL,NULL,NULL,NULL,2024-10-21 09:30:00,NULL,NULL,Demorada,2343.53,NULL,"Demorada: Cosecha de Hortalizas en field_sur_03.",Personal adicional requerido.,2024-01-02 15:00:00
task_entry_v4_004,task_destete,user_admin_pam,client_05,cont_int_005,pers_op_castro,camp_cria24_pam,field_pam_01,lot_pam_c_01,parcel_pam_c01_01,NULL,NULL,NULL,NULL,2024-11-15 09:45:00,NULL,3.1,En Progreso,1095.37,NULL,"En Progreso: Destete de Terneros en field_pam_01.",NULL,2024-02-15 15:00:00
task_entry_v4_005,task_monitoreo_e,user_admin_nor,client_04,cont_int_004,pers_agron_cruz,camp_citricos24_nor,field_nor_03,lot_nor_q_01,NULL,NULL,NULL,NULL,NULL,2024-07-12 11:00:00,NULL,NULL,Cancelada,3895.56,NULL,"Cancelada: Monitoreo de Enfermedades en field_nor_03.",NULL,2024-01-22 15:00:00
task_entry_v4_006,task_fertilizacion_r,user_ing_ama,client_01,cont_ext_006,pers_cont_silva,camp_maiz2324_ama,field_ama_01,lot_ama_e_01,parcel_ama_e01_01,mach_case_2388,prod_urea_g,15.0,kg,2024-02-19 08:30:00,NULL,NULL,Programada,108.87,NULL,"Programada: Fertilización de Cobertura en field_ama_01.",Lluvia interrumpió labores.,2024-01-29 15:00:00
task_entry_v4_007,task_cosecha_f,user_admin_vin,client_03,cont_int_003,pers_op_molina,camp_cabernet24_vin,field_vin_01,lot_vin_va_02,parcel_vin_va02_01,NULL,NULL,NULL,NULL,2024-03-23 12:30:00,2024-03-23 16:12:00,3.7,Finalizada,4271.81,4092.78,"Finalizada: Cosecha de Frutas en field_vin_01.",NULL,2024-02-03 15:00:00
task_entry_v4_008,task_fumigacion_h,user_admin_ama,client_01,cont_int_001,pers_op_sanchez,camp_trigo24_ama,field_ama_03,lot_ama_i_01,parcel_ama_i01_01,mach_metalfor_3200,prod_24d,123.0,litro,2024-07-06 14:00:00,NULL,NULL,Bloqueada,2192.01,NULL,"Bloqueada: Fumigación Herbicida en field_ama_03.",Personal adicional requerido.,2024-01-15 15:00:00
task_entry_v4_009,task_siembra,user_admin_pam,client_05,cont_int_005,pers_op_mendez,camp_siembragruesa24_pam,field_pam_02,lot_pam_p_02,NULL,mach_gimetal_airplanter,prod_sem_maiz_dk7210,10.0,bolsa,2024-11-07 07:30:00,NULL,0.7,En Progreso,4600.04,NULL,"En Progreso: Siembra Directa en field_pam_02.",NULL,2024-02-11 15:00:00
task_entry_v4_010,task_reparacion_m,user_ing_vin,client_03,cont_ext_008,NULL,camp_malbec24_vin,field_vin_02,NULL,NULL,mach_cele_axion850,NULL,NULL,NULL,2024-03-14 11:15:00,2024-03-14 18:33:00,7.3,Finalizada,285.93,254.7,"Finalizada: Reparación de Maquinaria en field_vin_02.",Condiciones climáticas óptimas.,2023-12-31 15:00:00
