id,taskName,description,category
task_siembra,Siembra Directa,Siembra de granos con mínima labranza,Cultivo
task_fumigacion_h,Fumigación Herbicida,Aplicación de herbicidas pre o post emergentes,Cultivo
task_fumigacion_i,Fumigación Insecticida,Aplicación de insecticidas para control de plagas,Cultivo
task_fumigacion_f,Fumigación Fungicida,Aplicación de fungicidas para control de enfermedades,Cultivo
task_fertilizacion_b,Fertilización de Base,Aplicación de fertilizantes al momento de siembra,Cultivo
task_fertilizacion_r,Fertilización de Cobertura,Aplicación de fertilizantes durante el ciclo del cultivo,Cultivo
task_cosecha_g,Cosecha de Granos,Recolección mecánica de granos,Cultivo
task_cosecha_f,Cosecha de Frutas,Recolección manual o mecánica de frutas,Fruticultura
task_cosecha_h,Cosecha de Hortalizas,Recolección de hortalizas,Horticultura
task_labranza_p,Labranza Primaria,"Arado, rastra de discos, subsolado",Cultivo
task_labranza_s,Labranza Secundaria,"Rastra de dientes, rolo, preparación de cama de siembra",Cultivo
task_riego_g,Riego por Goteo,Aplicación de agua localizada por goteo,Riego
task_riego_a,Riego por Aspersión,Aplicación de agua mediante aspersores,Riego
task_poda,Poda de Frutales,"Poda de formación, fructificación o limpieza",Fruticultura
task_raleo,Raleo de Frutos,Eliminación de exceso de frutos para mejorar calidad,Fruticultura
task_monitoreo_p,Monitoreo de Plagas,Revisión de cultivos para detección de plagas,Sanidad
task_monitoreo_e,Monitoreo de Enfermedades,Revisión de cultivos para detección de enfermedades,Sanidad
task_reparacion_a,Reparación de Alambrados,Mantenimiento de cercos perimetrales e internos,Mantenimiento
task_reparacion_m,Reparación de Maquinaria,Mantenimiento correctivo o preventivo de equipos,Mantenimiento
task_limpieza_c,Limpieza de Canales,Mantenimiento de canales de riego o drenaje,Mantenimiento
task_control_m,Control de Malezas Manual,Desmalezado manual o con herramientas menores,Cultivo
task_vacunacion,Vacunación de Ganado,Aplicación de vacunas a animales,Ganadería
task_alimentacion_s,Alimentación Suplementaria,Suministro de alimento extra al ganado,Ganadería
task_rotacion_p,Rotación de Potreros,Movimiento de ganado entre diferentes potreros,Ganadería
task_control_parasitos,Control de Parásitos Externos,Baños o aplicación de productos para parásitos,Ganadería
task_siembra_pastura,Siembra de Pasturas,Implantación de especies forrajeras,Ganadería
task_marcacion,Marcación de Ganado,Identificación de animales,Ganadería
task_destete,Destete de Terneros,Separación de crías de sus madres,Ganadería
task_inseminacion,Inseminación Artificial,Técnica de reproducción asistida,Ganadería
task_mantenimiento_b,Mantenimiento de Bebederos,Limpieza y reparación de bebederos,Mantenimiento
