task_entry_id,task_id_ref,created_by_user_id,client_id,contractor_id,campaign_id,field_id,lot_id,parcel_id,start_datetime,end_datetime,duration_hours,status,cost_estimated,cost_actual,result_description,notes,creation_timestamp
task_entry_v5_001,task_cosecha_h,user_admin_vin,client_03,cont_int_003,camp_ajo24_vin,field_vin_03,lot_vin_fm_01,parcel_vin_fm01_01,2024-10-09 09:45:00,NULL,NULL,Bloqueada,1444.93,NULL,"Bloqueada: Cosecha de Hortalizas en field_vin_03.",NULL,2024-01-10 18:35:11
task_entry_v5_002,task_labranza_s,user_admin_ama,client_01,cont_ext_008,camp_soja2324_ama,field_ama_01,lot_ama_e_01,parcel_ama_e01_01,2023-12-19 11:45:00,2023-12-19 15:09:00,3.4,Finalizada,1079.85,994.91,"Finalizada: Labranza Secundaria en field_ama_01.",NULL,2024-01-23 18:35:11
task_entry_v5_003,task_fumigacion_h,user_admin_nor,client_04,cont_int_004,camp_legumbresinv24_nor,field_nor_03,lot_nor_q_01,NULL,2024-09-10 14:30:00,NULL,NULL,Cancelada,4487.19,NULL,"Cancelada: Fumigación Herbicida en field_nor_03.",Maquinaria con desperfecto menor.,2024-02-01 18:35:11
task_entry_v5_004,task_control_parasitos,user_admin_pam,client_05,cont_int_005,camp_invernada24_pam,field_pam_01,NULL,NULL,2024-10-03 15:30:00,NULL,NULL,Demorada,4299.68,NULL,"Demorada: Control de Parásitos Externos en field_pam_01.",Todo según lo planeado.,2024-02-01 18:35:11
task_entry_v5_005,task_destete,user_admin_pam,client_05,cont_int_005,NULL,field_pam_02,lot_pam_p_01,NULL,2024-09-01 08:15:00,NULL,NULL,Demorada,2140.21,NULL,"Demorada: Destete de Terneros en field_pam_02.",Personal adicional requerido.,2024-01-12 18:35:11
task_entry_v5_006,task_reparacion_m,user_admin_ama,client_01,cont_ext_008,camp_trigo24_ama,field_ama_01,NULL,NULL,2024-06-22 14:00:00,NULL,NULL,Bloqueada,287.89,NULL,"Bloqueada: Reparación de Maquinaria en field_ama_01.",NULL,2024-01-13 18:35:11
task_entry_v5_007,task_siembra_pastura,user_admin_sur,client_02,cont_int_002,NULL,field_sur_02,lot_sur_vf_02,NULL,2024-11-05 15:00:00,NULL,NULL,Programada,2396.69,NULL,"Programada: Siembra de Pasturas en field_sur_02.",Personal adicional requerido.,2024-02-13 18:35:11
task_entry_v5_008,task_fertilizacion_b,user_ing_ama,client_01,cont_int_001,camp_girasol24_ama,field_ama_04,lot_ama_c_01,parcel_ama_c01_01,2024-09-22 08:30:00,2024-09-22 11:42:00,3.2,Finalizada,2108.03,2252.4,"Finalizada: Fertilización de Base en field_ama_04.",Condiciones climáticas óptimas.,2024-02-06 18:35:11
task_entry_v5_009,task_reparacion_a,user_admin_pam,client_05,cont_ext_006,NULL,field_pam_01,NULL,NULL,2024-10-27 11:45:00,NULL,NULL,Programada,2070.89,NULL,"Programada: Reparación de Alambrados en field_pam_01.",Todo según lo planeado.,2023-12-25 18:35:11
task_entry_v5_010,task_monitoreo_p,user_admin_sur,client_02,cont_int_002,camp_manzanas24_sur,field_sur_01,lot_sur_pl_02,parcel_sur_pl02_01,2024-03-11 14:15:00,NULL,NULL,Cancelada,1300.35,45.51,"Cancelada: Monitoreo de Plagas en field_sur_01.",Personal adicional requerido.,2024-02-18 18:35:11
task_entry_v5_011,task_limpieza_c,user_ing_vin,client_03,cont_int_003,camp_cabernet24_vin,field_vin_01,NULL,NULL,2024-04-09 14:00:00,NULL,NULL,Programada,4685.17,NULL,"Programada: Limpieza de Canales en field_vin_01.",Condiciones climáticas óptimas.,2024-02-14 18:35:11
task_entry_v5_012,task_cosecha_f,user_ing_vin,client_03,cont_ext_010,camp_malbec24_vin,field_vin_02,lot_vin_sr_01,parcel_vin_sr01_01,2024-03-19 08:00:00,2024-03-19 15:12:00,7.2,Finalizada,443.66,469.2,"Finalizada: Cosecha de Frutas en field_vin_02.",Personal adicional requerido.,2024-01-28 18:35:11
task_entry_v5_013,task_fumigacion_f,user_admin_nor,client_04,cont_int_004,camp_poroto24_nor,field_nor_03,lot_nor_q_01,NULL,2024-03-20 12:00:00,NULL,1.6,En Progreso,4886.97,NULL,"En Progreso: Fumigación Fungicida en field_nor_03.",Lluvia interrumpió labores.,2024-01-19 18:35:11
task_entry_v5_014,task_alimentacion_s,user_admin_ama,client_01,cont_int_001,camp_feedlot24_ama,field_ama_02,lot_ama_r_01,parcel_ama_r01_01,2024-07-27 10:15:00,NULL,NULL,Programada,282.76,NULL,"Programada: Alimentación Suplementaria en field_ama_02.",Maquinaria con desperfecto menor.,2024-02-01 18:35:11
task_entry_v5_015,task_siembra,user_admin_pam,client_05,cont_ext_006,camp_trigo24_pam,field_pam_02,lot_pam_p_02,NULL,2024-07-04 14:15:00,NULL,3.0,En Progreso,2563.34,NULL,"En Progreso: Siembra Directa en field_pam_02.",NULL,2023-12-27 18:35:11
... (10 filas más) ...
task_entry_v5_026,task_cosecha_g,user_admin_ama,client_01,cont_ext_009,camp_alfalfa23_ama,field_ama_01,lot_ama_e_05,parcel_ama_e05_01,2024-04-14 10:45:00,NULL,3.0,En Progreso,1996.01,NULL,"En Progreso: Cosecha de Granos en field_ama_01.",NULL,2024-02-15 18:35:11
task_entry_v5_027,task_fumigacion_i,user_admin_vin,client_03,cont_ext_007,camp_bonarda24_vin,field_vin_01,lot_vin_va_01,parcel_vin_va01_01,2024-04-14 11:15:00,NULL,NULL,Cancelada,3537.11,NULL,"Cancelada: Fumigación Insecticida en field_vin_01.",NULL,2024-01-16 18:35:11
task_entry_v5_028,task_monitoreo_e,user_admin_nor,client_04,cont_int_004,camp_citricos24_nor,field_nor_02,lot_nor_ll_01,parcel_nor_ll01_01,2024-08-03 11:15:00,NULL,NULL,Cancelada,2828.52,NULL,"Cancelada: Monitoreo de Enfermedades en field_nor_02.",NULL,2024-02-15 18:35:11
task_entry_v5_029,task_mantenimiento_b,user_trab_ama_2,client_01,cont_int_001,NULL,field_ama_03,lot_ama_i_02,parcel_ama_i02_01,2024-02-02 07:30:00,2024-02-02 13:36:00,6.1,Finalizada,1385.22,1291.28,"Finalizada: Mantenimiento de Bebederos en field_ama_03.",NULL,2024-01-10 18:35:11
